name;lable;data_type;address;access;comment
cycle_id;key;float;;read;Progressive Cycle Number (Cyclic from 1 to 9999) [#]
shaft_combustion;production;float;;read;Shaft in Combustion [#]
cycle_time;time;float;;read;Cycle Time [s]
combustion_time;time;float;;read;Combustion Time [s]
inversion_time;time;float;;read;Inversion Time [s]
cycle_disabled_time;time;float;;read;Time Cycle Disabled [s]
fuel_supply_time;time;float;;read;Time Fuel Supply [s]
limestone_cycle;production;float;;read;Limestone for Cycle - Process Value [kg/cycle]
limestone_cycle_setpoint;production;float;;read/write;Limestone for Cycle - Setpoint [kg/cycle]
lime_cycle;production;float;;read;Lime for Cycle [kg/cycle]
nominal_prod;production;float;;read;Nominal Production [tpd]
heat_consumption;fuel;float;;read;Heat Consumption [kcal/kg]
heat_consumption_setpoint;fuel;float;;read/write;Heat Consumption - Setpoint [kcal/kg]
fuel_cycle;fuel;float;;read;Fuel for Cycle - Process Value [Nm³/cycle]
fuel_cycle_setpoint;fuel;float;;read/write;Fuel for Cycle - Setpoint [Nm³/cycle]
fuel_flow;fuel;float;;read;Fuel Flow - Process Value [Nm³/h]
fuel_flow_setpoint;fuel;float;;read/write;Fuel Flow - Setpoint [Nm³/h]
low_heat_val_air_calc;air;float;;read/write;Low Heat Value air used for calculations [kcal/Nm³]
stoich_air_calc;air;float;;read/write;Stoichiometric air used for calculation [m³(n)/kg]
combustion_air_flow_theo;air;float;;read;Combustion Air Flow by Theoretical Calculation [m³(n)/h]
combustion_air_flow;air;float;;read;Combustion Air Flow [m³(n)/h]
combustion_air_index;air;float;;read;Combustion Air Index (Excess of Air) - Process Value [#]
combustion_air_index_setpoint;air;float;;read/write;Combustion Air Index (Excess of Air) - Setpoint [#]
combustion_air_blower_speed;air;float;;read;Combustion Air Blower used for regulation - Speed - Process Value
combustion_air_blower_speed_setpoint;air;float;;read/write;Combustion Air Blower used for regulation - Speed - Setpoint
cool_air_flow_theo;air;float;;read;Lime Cooling Air Flow by Theoretical Calculation [m³(n)/h]
cool_air_flow;air;float;;read;Lime Cooling Air Flow
cool_air_ratio;air;float;;read;Lime Cooling Air Ratio - Process Value [#]
cool_air_ratio_setpoint;air;float;;read/write;Lime Cooling Air Ratio - Setpoint [#]
cool_air_blower_speed;air;float;;read;Lime Cooling Air Blower used for regulation - Speed - Process Value
cool_air_blower_speed_setpoint;air;float;;read/write;Lime Cooling Air Blower used for regulation - Speed - Setpoint
channel_temp1;temperature;float;;read;Channel Temperature 1 [°C]
channel_temp2;temperature;float;;read;Channel Temperature 2 [°C]
waste_gases_temp_outlet_kiln;temperature;float;;read;Waste Gases Temperature - Outlet Kiln [°C]
waste_gases_temp_inlet_kiln_filter;temperature;float;;read;Waste Gases Temperature - Inlet Kiln Filter [°C]
shaft1_drawer_pipe_temp;temperature;float;;read;Shaft 1 Drawer Pipe Side - Lime Temperature [°C]
shaft1_drawer_skip_temp;temperature;float;;read;Shaft 1 Drawer Skip Side - Lime Temperature [°C]
shaft2_drawer_pipe_temp;temperature;float;;read;Shaft 2 Drawer Pipe Side - Lime Temperature [°C]
shaft2_drawer_skip_temp;temperature;float;;read;Shaft 2 Drawer Skip Side - Lime Temperature [°C]
combustion_air_pressure;pressure;float;;read;Combustion Air Pressure [mbar]
lime_cool_air_pressure;pressure;float;;read;Lime Cooling Air Pressure [mbar]
channel_air_pressure;pressure;float;;read;Channel Air Pressure [mbar]
shaft1_lances_cool_air_pressure;pressure;float;;read;Shaft 1 Lances Cooling Air Pressure [mbar]
shaft2_lances_cool_air_pressure;pressure;float;;read;Shaft 2 Lances Cooling Air Pressure [mbar]
shaft1_strokes;production;float;;read;Shaft 1 - Number of Total Strokes [#]
shaft2_strokes;production;float;;read;Shaft 2 - Number of Total Strokes [#]
natural_gas_temp;temperature;float;;read;Natural Gas - Temperature [°C]
natural_gas_pressure;production;float;;read;Natural Gas - Pressure [barg]
natural_gas_output_regulator;fuel;float;;read;Natural Gas - Output Regulator [%]
hydraulic_oil_temp;temperature;float;;read;Hydraulic Oil - Temperature [°C]
hydraulic_oil_pressure;pressure;float;;read;Hydraulic Oil - Pressure [bar]
waiting_time;time;float;;read;Waiting Time [s]
unavailability_time;time;float;;read;Unavailability Time [s]
drawer_sampling_time;time;float;;read;Drawer Sampling [s]
valves_maint_time;time;float;;read;Valves Time Maintenance [s]
hyd_oil_unit_maint_time;time;float;;read;Hydraulic Oil Unit Time Maintenance [s]
hyd_oil_plant_maint_time;time;float;;read;Hydraulic Oil Plant Time Maintenance [s]
blower_maint_time;time;float;;read;Blower Time Maintenance [s]
skip_maint_time;time;float;;read;Skip Time Maintenance [s]
limestone_hopper_time;time;float;;read;Limestone Weighed Hopper Calibration [s]
other_maint_time;time;float;;read;Other Maintenance [s]
mechanical_issue_time;time;float;;read;Mechanical Issue [s]
electrical_issue_time;time;float;;read;Electrical Issue [s]
process_issue_time;time;float;;read;Process Issue [s]
other_issue_time;time;float;;read;Other Is+B2:B66sue [s]
